real,fake,mask,prompt
real/cow_416837.png,fake/glide_inpainting_val2017_416837_up.png,mask/cow_416837_mask.png,cow
real/horse_226883.png,fake/glide_inpainting_val2017_226883_up.png,mask/horse_226883_mask.png,horse
real/hot dog_29675.png,fake/glide_inpainting_val2017_29675_up.png,mask/hot dog_29675_mask.png,hot dog
real/motorcycle_456394.png,fake/glide_inpainting_val2017_456394_up.png,mask/motorcycle_456394_mask.png,motorcycle
real/cat_416330.png,fake/glide_inpainting_val2017_416330_up.png,mask/cat_416330_mask.png,cat
real/zebra_122969.png,fake/glide_inpainting_val2017_122969_up.png,mask/zebra_122969_mask.png,zebra
real/sheep_22589.png,fake/glide_inpainting_val2017_22589_up.png,mask/sheep_22589_mask.png,sheep
real/cow_222863.png,fake/glide_inpainting_val2017_222863_up.png,mask/cow_222863_mask.png,cow
real/teddy bear_537802.png,fake/glide_inpainting_val2017_537802_up.png,mask/teddy bear_537802_mask.png,teddy bear
real/teddy bear_370900.png,fake/glide_inpainting_val2017_370900_up.png,mask/teddy bear_370900_mask.png,teddy bear
real/train_129135.png,fake/glide_inpainting_val2017_129135_up.png,mask/train_129135_mask.png,train
real/train_416269.png,fake/glide_inpainting_val2017_416269_up.png,mask/train_416269_mask.png,train
real/zebra_25139.png,fake/glide_inpainting_val2017_25139_up.png,mask/zebra_25139_mask.png,zebra
real/giraffe_486046.png,fake/glide_inpainting_val2017_486046_up.png,mask/giraffe_486046_mask.png,giraffe
real/donut_322211.png,fake/glide_inpainting_val2017_322211_up.png,mask/donut_322211_mask.png,donut
real/suitcase_84650.png,fake/glide_inpainting_val2017_84650_up.png,mask/suitcase_84650_mask.png,suitcase
real/horse_380203.png,fake/glide_inpainting_val2017_380203_up.png,mask/horse_380203_mask.png,horse
real/pizza_451693.png,fake/glide_inpainting_val2017_451693_up.png,mask/pizza_451693_mask.png,pizza
real/truck_196759.png,fake/glide_inpainting_val2017_196759_up.png,mask/truck_196759_mask.png,truck
real/microwave_269866.png,fake/glide_inpainting_val2017_269866_up.png,mask/microwave_269866_mask.png,microwave
real/hot dog_283113.png,fake/glide_inpainting_val2017_283113_up.png,mask/hot dog_283113_mask.png,hot dog
real/truck_76417.png,fake/glide_inpainting_val2017_76417_up.png,mask/truck_76417_mask.png,truck
real/hot dog_438226.png,fake/glide_inpainting_val2017_438226_up.png,mask/hot dog_438226_mask.png,hot dog
real/airplane_139871.png,fake/glide_inpainting_val2017_139871_up.png,mask/airplane_139871_mask.png,airplane
real/stop sign_214200.png,fake/glide_inpainting_val2017_214200_up.png,mask/stop sign_214200_mask.png,stop sign
real/vase_521282.png,fake/glide_inpainting_val2017_521282_up.png,mask/vase_521282_mask.png,vase
real/cell phone_228981.png,fake/glide_inpainting_val2017_228981_up.png,mask/cell phone_228981_mask.png,cell phone
real/microwave_577584.png,fake/glide_inpainting_val2017_577584_up.png,mask/microwave_577584_mask.png,microwave
real/keyboard_1675.png,fake/glide_inpainting_val2017_1675_up.png,mask/keyboard_1675_mask.png,keyboard
real/cell phone_288391.png,fake/glide_inpainting_val2017_288391_up.png,mask/cell phone_288391_mask.png,cell phone
real/snowboard_304817.png,fake/glide_inpainting_val2017_304817_up.png,mask/snowboard_304817_mask.png,snowboard
real/toilet_431140.png,fake/glide_inpainting_val2017_431140_up.png,mask/toilet_431140_mask.png,toilet
real/airplane_553094.png,fake/glide_inpainting_val2017_553094_up.png,mask/airplane_553094_mask.png,airplane
real/orange_189078.png,fake/glide_inpainting_val2017_189078_up.png,mask/orange_189078_mask.png,orange
real/airplane_323709.png,fake/glide_inpainting_val2017_323709_up.png,mask/airplane_323709_mask.png,airplane
real/wine glass_146489.png,fake/glide_inpainting_val2017_146489_up.png,mask/wine glass_146489_mask.png,wine glass
real/refrigerator_194724.png,fake/glide_inpainting_val2017_194724_up.png,mask/refrigerator_194724_mask.png,refrigerator
real/toilet_59920.png,fake/glide_inpainting_val2017_59920_up.png,mask/toilet_59920_mask.png,toilet
real/hot dog_393014.png,fake/glide_inpainting_val2017_393014_up.png,mask/hot dog_393014_mask.png,hot dog
real/motorcycle_48924.png,fake/glide_inpainting_val2017_48924_up.png,mask/motorcycle_48924_mask.png,motorcycle
real/toilet_147518.png,fake/glide_inpainting_val2017_147518_up.png,mask/toilet_147518_mask.png,toilet
real/boat_133233.png,fake/glide_inpainting_val2017_133233_up.png,mask/boat_133233_mask.png,boat
real/broccoli_516871.png,fake/glide_inpainting_val2017_516871_up.png,mask/broccoli_516871_mask.png,broccoli
real/banana_575500.png,fake/glide_inpainting_val2017_575500_up.png,mask/banana_575500_mask.png,banana
real/boat_228436.png,fake/glide_inpainting_val2017_228436_up.png,mask/boat_228436_mask.png,boat
real/kite_85911.png,fake/glide_inpainting_val2017_85911_up.png,mask/kite_85911_mask.png,kite
real/zebra_20059.png,fake/glide_inpainting_val2017_20059_up.png,mask/zebra_20059_mask.png,zebra
real/suitcase_370478.png,fake/glide_inpainting_val2017_370478_up.png,mask/suitcase_370478_mask.png,suitcase
real/surfboard_164115.png,fake/glide_inpainting_val2017_164115_up.png,mask/surfboard_164115_mask.png,surfboard
real/boat_491725.png,fake/glide_inpainting_val2017_491725_up.png,mask/boat_491725_mask.png,boat
real/vase_69795.png,fake/glide_inpainting_val2017_69795_up.png,mask/vase_69795_mask.png,vase
real/fire hydrant_390301.png,fake/glide_inpainting_val2017_390301_up.png,mask/fire hydrant_390301_mask.png,fire hydrant
real/fire hydrant_138550.png,fake/glide_inpainting_val2017_138550_up.png,mask/fire hydrant_138550_mask.png,fire hydrant
real/banana_78959.png,fake/glide_inpainting_val2017_78959_up.png,mask/banana_78959_mask.png,banana
real/horse_269932.png,fake/glide_inpainting_val2017_269932_up.png,mask/horse_269932_mask.png,horse
real/giraffe_460379.png,fake/glide_inpainting_val2017_460379_up.png,mask/giraffe_460379_mask.png,giraffe
real/giraffe_211069.png,fake/glide_inpainting_val2017_211069_up.png,mask/giraffe_211069_mask.png,giraffe
real/sheep_552612.png,fake/glide_inpainting_val2017_552612_up.png,mask/sheep_552612_mask.png,sheep
real/toilet_85576.png,fake/glide_inpainting_val2017_85576_up.png,mask/toilet_85576_mask.png,toilet
real/microwave_313130.png,fake/glide_inpainting_val2017_313130_up.png,mask/microwave_313130_mask.png,microwave
real/toilet_32285.png,fake/glide_inpainting_val2017_32285_up.png,mask/toilet_32285_mask.png,toilet
real/horse_17178.png,fake/glide_inpainting_val2017_17178_up.png,mask/horse_17178_mask.png,horse
real/frisbee_221693.png,fake/glide_inpainting_val2017_221693_up.png,mask/frisbee_221693_mask.png,frisbee
real/spoon_465430.png,fake/glide_inpainting_val2017_465430_up.png,mask/spoon_465430_mask.png,spoon
real/dining table_340175.png,fake/glide_inpainting_val2017_340175_up.png,mask/dining table_340175_mask.png,dining table
real/fork_210030.png,fake/glide_inpainting_val2017_210030_up.png,mask/fork_210030_mask.png,fork
real/mouse_68765.png,fake/glide_inpainting_val2017_68765_up.png,mask/mouse_68765_mask.png,mouse
real/donut_25986.png,fake/glide_inpainting_val2017_25986_up.png,mask/donut_25986_mask.png,donut
real/spoon_335427.png,fake/glide_inpainting_val2017_335427_up.png,mask/spoon_335427_mask.png,spoon
real/cow_347664.png,fake/glide_inpainting_val2017_347664_up.png,mask/cow_347664_mask.png,cow
real/dog_392818.png,fake/glide_inpainting_val2017_392818_up.png,mask/dog_392818_mask.png,dog
real/oven_283717.png,fake/glide_inpainting_val2017_283717_up.png,mask/oven_283717_mask.png,oven
real/banana_407574.png,fake/glide_inpainting_val2017_407574_up.png,mask/banana_407574_mask.png,banana
real/zebra_290833.png,fake/glide_inpainting_val2017_290833_up.png,mask/zebra_290833_mask.png,zebra
real/dining table_100582.png,fake/glide_inpainting_val2017_100582_up.png,mask/dining table_100582_mask.png,dining table
real/potted plant_279145.png,fake/glide_inpainting_val2017_279145_up.png,mask/potted plant_279145_mask.png,potted plant
real/broccoli_579091.png,fake/glide_inpainting_val2017_579091_up.png,mask/broccoli_579091_mask.png,broccoli
real/truck_474164.png,fake/glide_inpainting_val2017_474164_up.png,mask/truck_474164_mask.png,truck
real/cat_63552.png,fake/glide_inpainting_val2017_63552_up.png,mask/cat_63552_mask.png,cat
real/suitcase_125952.png,fake/glide_inpainting_val2017_125952_up.png,mask/suitcase_125952_mask.png,suitcase
real/pizza_43581.png,fake/glide_inpainting_val2017_43581_up.png,mask/pizza_43581_mask.png,pizza
real/elephant_110638.png,fake/glide_inpainting_val2017_110638_up.png,mask/elephant_110638_mask.png,elephant
real/chair_540928.png,fake/glide_inpainting_val2017_540928_up.png,mask/chair_540928_mask.png,chair
real/motorcycle_279887.png,fake/glide_inpainting_val2017_279887_up.png,mask/motorcycle_279887_mask.png,motorcycle
real/banana_161820.png,fake/glide_inpainting_val2017_161820_up.png,mask/banana_161820_mask.png,banana
real/pizza_337498.png,fake/glide_inpainting_val2017_337498_up.png,mask/pizza_337498_mask.png,pizza
real/teddy bear_125062.png,fake/glide_inpainting_val2017_125062_up.png,mask/teddy bear_125062_mask.png,teddy bear
real/cake_485130.png,fake/glide_inpainting_val2017_485130_up.png,mask/cake_485130_mask.png,cake
real/elephant_493284.png,fake/glide_inpainting_val2017_493284_up.png,mask/elephant_493284_mask.png,elephant
real/baseball bat_57232.png,fake/glide_inpainting_val2017_57232_up.png,mask/baseball bat_57232_mask.png,baseball bat
real/oven_393838.png,fake/glide_inpainting_val2017_393838_up.png,mask/oven_393838_mask.png,oven
real/truck_523782.png,fake/glide_inpainting_val2017_523782_up.png,mask/truck_523782_mask.png,truck
real/suitcase_453860.png,fake/glide_inpainting_val2017_453860_up.png,mask/suitcase_453860_mask.png,suitcase
real/parking meter_333956.png,fake/glide_inpainting_val2017_333956_up.png,mask/parking meter_333956_mask.png,parking meter
real/horse_335450.png,fake/glide_inpainting_val2017_335450_up.png,mask/horse_335450_mask.png,horse
real/orange_231527.png,fake/glide_inpainting_val2017_231527_up.png,mask/orange_231527_mask.png,orange
real/giraffe_134689.png,fake/glide_inpainting_val2017_134689_up.png,mask/giraffe_134689_mask.png,giraffe
real/boat_543300.png,fake/glide_inpainting_val2017_543300_up.png,mask/boat_543300_mask.png,boat
real/backpack_32610.png,fake/glide_inpainting_val2017_32610_up.png,mask/backpack_32610_mask.png,backpack
real/tv_368684.png,fake/glide_inpainting_val2017_368684_up.png,mask/tv_368684_mask.png,tv
real/broccoli_132116.png,fake/glide_inpainting_val2017_132116_up.png,mask/broccoli_132116_mask.png,broccoli
real/cell phone_180798.png,fake/glide_inpainting_val2017_180798_up.png,mask/cell phone_180798_mask.png,cell phone
real/pizza_402433.png,fake/glide_inpainting_val2017_402433_up.png,mask/pizza_402433_mask.png,pizza
real/wine glass_416885.png,fake/glide_inpainting_val2017_416885_up.png,mask/wine glass_416885_mask.png,wine glass
real/spoon_129113.png,fake/glide_inpainting_val2017_129113_up.png,mask/spoon_129113_mask.png,spoon
real/parking meter_430871.png,fake/glide_inpainting_val2017_430871_up.png,mask/parking meter_430871_mask.png,parking meter
real/sandwich_322574.png,fake/glide_inpainting_val2017_322574_up.png,mask/sandwich_322574_mask.png,sandwich
real/tie_131938.png,fake/glide_inpainting_val2017_131938_up.png,mask/tie_131938_mask.png,tie
real/fire hydrant_377575.png,fake/glide_inpainting_val2017_377575_up.png,mask/fire hydrant_377575_mask.png,fire hydrant
real/boat_133645.png,fake/glide_inpainting_val2017_133645_up.png,mask/boat_133645_mask.png,boat
real/fire hydrant_293071.png,fake/glide_inpainting_val2017_293071_up.png,mask/fire hydrant_293071_mask.png,fire hydrant
real/apple_424721.png,fake/glide_inpainting_val2017_424721_up.png,mask/apple_424721_mask.png,apple
real/clock_344614.png,fake/glide_inpainting_val2017_344614_up.png,mask/clock_344614_mask.png,clock
real/toothbrush_365385.png,fake/glide_inpainting_val2017_365385_up.png,mask/toothbrush_365385_mask.png,toothbrush
real/surfboard_377882.png,fake/glide_inpainting_val2017_377882_up.png,mask/surfboard_377882_mask.png,surfboard
real/car_225532.png,fake/glide_inpainting_val2017_225532_up.png,mask/car_225532_mask.png,car
real/microwave_127182.png,fake/glide_inpainting_val2017_127182_up.png,mask/microwave_127182_mask.png,microwave
real/laptop_433192.png,fake/glide_inpainting_val2017_433192_up.png,mask/laptop_433192_mask.png,laptop
real/orange_318114.png,fake/glide_inpainting_val2017_318114_up.png,mask/orange_318114_mask.png,orange
real/elephant_474170.png,fake/glide_inpainting_val2017_474170_up.png,mask/elephant_474170_mask.png,elephant
real/clock_267351.png,fake/glide_inpainting_val2017_267351_up.png,mask/clock_267351_mask.png,clock
real/toothbrush_241319.png,fake/glide_inpainting_val2017_241319_up.png,mask/toothbrush_241319_mask.png,toothbrush
real/sheep_225184.png,fake/glide_inpainting_val2017_225184_up.png,mask/sheep_225184_mask.png,sheep
real/bear_194216.png,fake/glide_inpainting_val2017_194216_up.png,mask/bear_194216_mask.png,bear
real/laptop_11813.png,fake/glide_inpainting_val2017_11813_up.png,mask/laptop_11813_mask.png,laptop
real/surfboard_92177.png,fake/glide_inpainting_val2017_92177_up.png,mask/surfboard_92177_mask.png,surfboard
real/elephant_556765.png,fake/glide_inpainting_val2017_556765_up.png,mask/elephant_556765_mask.png,elephant
real/tv_98839.png,fake/glide_inpainting_val2017_98839_up.png,mask/tv_98839_mask.png,tv
real/skateboard_300842.png,fake/glide_inpainting_val2017_300842_up.png,mask/skateboard_300842_mask.png,skateboard
